#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,driver
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-05-10T16:00:00Z,47.5,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-05-12T07:00:00Z,53.45,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-05-14T17:00:00Z,14.64,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-05-15T17:00:00Z,62.44,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-05-16T18:00:00Z,28.31,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-05-20T16:00:00Z,31.25,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-05-22T11:00:00Z,54.64,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-05-24T18:00:00Z,25.54,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-05-26T15:00:00Z,51.57,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-06-01T14:00:00Z,47.75,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-06-04T18:00:00Z,29.02,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-06-06T15:00:00Z,44.78,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-06-07T17:00:00Z,18.07,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-06-08T16:00:00Z,39.92,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-06-14T21:00:00Z,46.15,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-06-17T18:00:00Z,3.77,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-06-17T20:00:00Z,14.48,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-06-18T20:00:00Z,36.87,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-06-22T10:00:00Z,33.92,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-06-24T11:00:00Z,13.204,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-06-25T14:00:00Z,11.3,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-06-25T20:00:00Z,35.06,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-06-27T09:00:00Z,3.3,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-06-27T10:00:00Z,9.44,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-06-28T13:00:00Z,50.02,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-06-29T16:00:00Z,46.4,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-07-01T12:00:00Z,37.3,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-07-06T09:00:00Z,30.61,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-07-12T12:00:00Z,49.5,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-07-14T14:00:00Z,53.55,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-07-15T18:00:00Z,32.46,consumed,charge,Driver 1
